date,aapl_open,aapl_high,aapl_low,aapl_close,aapl_volume,vxapl_open,vxapl_high,vxapl_low,vxapl_close,vix_open,vix_high,vix_low,vix_close,vix9d_open,vix9d_high,vix9d_low,vix9d_close,earnings_flag,fiscal_quarter_end,eps_estimate,eps_actual,eps_surprise_pct,source_ids
2014-01-02,17.31374968,17.35581239,17.19971213,17.2342968,234684800,29.44,30.45,29.37,30.35,14.32,14.59,14.0,14.23,14.52,14.87,13.82,13.83,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-01-03,17.22588645,17.25205791,16.83859438,16.85573196,392467600,30.58,32.28,30.44,32.28,14.06,14.22,13.57,13.76,13.59,13.63,12.17,12.17,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-01-06,16.74574321,17.03706712,16.62578514,16.94764519,412610800,33.49,33.52,31.07,31.49,13.41,14.0,13.22,13.55,12.46,13.53,12.04,12.51,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-01-07,16.95979385,17.01089209,16.7603846,16.8264389,317209200,31.76,31.8,30.76,30.87,12.38,13.28,12.16,12.92,12.66,12.71,11.39,11.57,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-01-08,16.78811571,16.99843088,16.78437836,16.93300056,258529600,31.17,31.31,30.35,30.38,13.04,13.24,12.86,12.87,11.95,12.08,11.59,11.62,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-01-09,17.03707113,17.03894147,16.68031516,16.71677017,279148800,30.5,30.9,30.2,30.6,12.83,13.26,12.83,12.89,11.67,12.27,11.55,11.75,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-01-10,16.81989539,16.8501187,16.54820012,16.60521889,304976000,30.87,31.1,30.37,30.46,12.6,12.9,12.14,12.14,10.95,11.55,9.97,9.97,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-01-13,16.51081571,16.90309147,16.50988053,16.69215393,378492800,33.32,34.33,32.36,32.6,12.18,13.65,11.82,13.28,11.36,13.76,10.97,13.09,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-01-14,16.76973451,17.03488695,16.75228576,17.0242939,332561600,32.52,32.63,30.42,30.8,12.89,12.9,11.96,12.28,12.62,12.62,11.11,11.31,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-01-15,17.24645313,17.45458685,17.18849917,17.3660984,391638800,31.22,31.77,30.37,31.03,12.15,12.4,11.81,12.28,10.86,11.16,10.47,10.64,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-01-16,17.28945007,17.35020787,17.18912056,17.26919746,229278000,30.85,31.71,30.8,31.68,12.32,12.66,12.28,12.53,11.05,11.49,10.82,11.09,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-01-17,17.18289126,17.20127352,16.82208344,16.84607506,426739600,31.87,34.2,31.55,34.17,12.34,12.93,12.04,12.44,10.9,11.76,10.5,11.46,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-01-21,16.85603643,17.13894871,16.83827652,17.1077919,328526800,35.4,35.51,32.06,32.17,12.63,13.42,12.61,12.87,12.03,13.54,12.03,12.46,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-01-22,17.16512564,17.36391091,17.06853685,17.18382072,379985200,31.97,32.23,31.24,31.75,12.57,13.12,12.55,12.84,12.23,12.96,12.11,12.3,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-01-23,17.13489893,17.33929353,16.97505971,17.32932281,403239200,32.03,32.81,31.15,31.61,13.67,14.66,13.67,13.77,13.51,15.67,13.51,14.21,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-01-24,17.26140196,17.31187786,16.97319309,17.01432228,429354800,31.93,33.86,31.88,33.66,14.95,18.14,14.92,18.14,15.93,21.17,15.83,20.84,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-01-27,17.13895829,17.2863342,17.00435694,17.15235519,554878800,33.99,34.34,32.08,32.19,17.29,18.99,16.85,17.42,19.96,21.85,18.42,19.04,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
