announcement_date,fiscal_quarter_end,eps_estimate,eps_actual,eps_surprise_pct,vxapl_close,iv_var,pre_rv20_var,pre_rv20,market_term_slope,relative_iv,iv_runup_5,iv_z_252,hist_abs_gap_4,hist_abs_eps_surprise_4,event_gap,abs_event_gap,post_rv5_var,post_rv5,post_rv20_var,post_rv20,vrp20,vrp5
2015-01-27,2014-12-31,0.65,0.76,0.16923077,42.25,0.17850625,0.09122045,0.30202724,-0.0034,2.45354239,0.11154959,3.37527398,,,0.07491262,0.07491262,0.21858557,0.46753135,0.09093624,0.30155637,0.08757001,-0.04007932
2015-04-27,2015-03-31,0.55,0.58,0.05454545,34.34,0.11792356,0.0342366,0.18503134,0.004,2.61737805,0.05759162,1.44689272,0.07491262,0.16923077,0.01355256,0.01355256,0.10718538,0.32739179,0.05697425,0.23869279,0.06094931,0.01073818
2015-07-21,2015-06-30,0.45,0.46,0.02222222,29.26,0.08561476,0.04449235,0.21093209,0.009,2.39443535,0.06245461,0.38442766,0.04423259,0.11188811,-0.0693481,0.0693481,0.10665089,0.32657448,0.10677753,0.32676831,-0.02116277,-0.02103613
2015-10-27,2015-09-30,0.47,0.49,0.04255319,40.09,0.16072081,0.05164278,0.22725047,-0.0088,2.59818535,0.1213986,1.38828101,0.05260442,0.08199948,0.02056381,0.02056381,0.10782921,0.32837358,0.0736227,0.27133503,0.08709811,0.0528916
2016-01-26,2015-12-31,0.81,0.82,0.01234568,40.36,0.16289296,0.11682755,0.34180045,-0.0175,1.79377778,0.00623286,1.39309169,0.04459427,0.07213791,-0.04030524,0.04030524,0.31898012,0.56478325,0.12495029,0.35348309,0.03794267,-0.15608716
2016-04-26,2016-03-31,0.49,0.47,-0.04081633,30.53,0.09320809,0.03481752,0.18659454,0.0046,2.18696275,-0.01101393,0.04358364,0.03594242,0.03291664,-0.08340232,0.08340232,0.27924153,0.52843309,0.10585616,0.32535543,-0.01264807,-0.18603344
2016-07-26,2016-06-30,0.35,0.35,0.0,26.15,0.06838225,0.02013879,0.1419112,0.0107,2.00383142,0.10012621,-0.58626891,0.05340487,0.02948435,0.0756805,0.0756805,0.23545327,0.48523528,0.06883716,0.26236837,-0.00045491,-0.16707102
2016-10-25,2016-09-30,0.41,0.42,0.02439024,26.33,0.06932689,0.01278411,0.11306684,0.0156,1.95616642,-0.05559541,-0.04267108,0.05498797,0.0239288,-0.03388718,0.03388718,0.04987625,0.22332992,0.05059496,0.22493324,0.01873193,0.01945064
2017-01-31,2016-12-31,0.81,0.84,0.03703704,22.97,0.05276209,0.00788345,0.08878879,0.0022,1.91576314,0.03050695,-0.3217031,0.05831881,0.01938806,0.04574409,0.04574409,0.18657007,0.43193758,0.05711348,0.23898426,-0.00435139,-0.13380798
2017-05-02,2017-03-31,0.5,0.52,0.04,22.4,0.050176,0.01354544,0.11638489,0.001,2.11520302,0.06413302,0.20016846,0.05967852,0.0255609,-0.01310124,0.01310124,0.05308339,0.23039834,0.03597631,0.18967422,0.01419969,-0.00290739
