metric,value
n_events,40.0
n_test_events,23.0
n_initial_train,16.0
mean_vxapl_pct,33.82775
mean_post_rv20_vol_pct,27.876174839195727
mean_vrp20,0.03276637729927986
positive_vrp20_share,0.7
vrp20_ci_low_95,0.014987114471461631
vrp20_ci_high_95,0.04999610541915195
iv_only_slope,0.5944219258568345
iv_only_hc3_t,2.69525834959831
iv_only_r_squared,0.25957426513872106
multivariate_r_squared,0.2727166557437971
ridge_lambda,10.0
mean_mae,0.05801033385489668
mean_rmse,0.07082178443682692
mean_oos_r_squared,0.0
mean_forecast_correlation,-0.3595076689801783
mean_sign_accuracy,0.5652173913043478
iv_only_mae,0.05513367992911795
iv_only_rmse,0.06662480677664144
iv_only_oos_r_squared,0.11501034355873352
iv_only_forecast_correlation,0.3170521227173565
iv_only_sign_accuracy,0.7391304347826086
ridge_mae,0.06000284497493139
ridge_rmse,0.0695515590447921
ridge_oos_r_squared,0.03554935326273945
ridge_forecast_correlation,0.1944817769724612
ridge_sign_accuracy,0.5217391304347826
