signal_date,selected
2023-02-01,"XLU, XLV, XLP"
2023-03-02,"XLRE, XLU, XLY"
2023-03-30,"XLF, XLB, XLE"
2023-04-28,"XLI, XLK, XLB"
2023-05-26,"XLE, XLU, XLRE"
2023-06-27,"XLE, XLP, XLU"
2023-07-26,"XLP, XLY, XLK"
2023-08-23,"XLU, XLRE, XLB"
2023-09-21,"XLI, XLRE, XLK"
2023-10-19,"XLU, XLRE, XLY"
2023-11-16,"XLE, XLV, XLP"
2023-12-15,"XLC, XLE, XLP"
2024-01-17,"XLE, XLY, XLB"
2024-02-14,"XLU, XLRE, XLP"
2024-03-14,"XLC, XLY, XLV"
2024-04-12,"XLV, XLRE, XLP"
2024-05-10,"XLE, XLK, XLY"
2024-06-10,"XLE, XLI, XLB"
2024-07-10,"XLU, XLB, XLE"
2024-08-07,"XLK, XLY, XLC"
2024-09-05,"XLE, XLC, XLB"
2024-10-03,"XLP, XLV, XLF"
2024-10-31,"XLE, XLV, XLU"
2024-11-29,"XLV, XLB, XLU"
2024-12-30,"XLB, XLE, XLRE"
2025-01-30,"XLK, XLP, XLRE"
2025-02-28,"XLY, XLK, XLI"
2025-03-28,"XLY, XLK, XLC"
2025-04-28,"XLE, XLV, XLB"
2025-05-27,"XLV, XLE, XLRE"
2025-06-25,"XLP, XLY, XLU"
2025-07-24,"XLV, XLP, XLF"
2025-08-21,"XLRE, XLI, XLE"
2025-09-19,"XLP, XLU, XLV"
2025-10-17,"XLF, XLC, XLB"
2025-11-14,"XLC, XLP, XLU"
2025-12-15,"XLU, XLE, XLK"
2026-01-14,"XLF, XLC, XLY"
2026-02-12,"XLY, XLF, XLK"
2026-03-13,"XLB, XLF, XLP"
2026-04-13,"XLP, XLV, XLU"
2026-05-11,"XLV, XLU, XLF"
2026-06-09,"XLC, XLY, XLB"
