quote_date,expiration,option_type,strike,bid,ask,last,volume,open_interest,implied_volatility,delta,gamma,theta,vega
2014-01-02,2014-01-23,call,169.0,13.6456,14.2887,13.9671,5000,50000,0.155816,0.983722,0.005942,-2.529627,1.782307
2014-01-02,2014-01-23,call,174.0,9.0242,9.3212,9.1727,5000,50000,0.150837,0.919393,0.022592,-8.710738,6.560226
2014-01-02,2014-01-23,put,174.0,0.2417,0.2497,0.2457,5000,50000,0.150837,-0.080607,0.022592,-8.588943,6.560226
2014-01-02,2014-01-23,call,178.0,5.665,5.7878,5.7264,5000,50000,0.146956,0.785898,0.045206,-16.429543,12.788909
2014-01-02,2014-01-23,put,178.0,0.7907,0.8078,0.7993,5000,50000,0.146956,-0.214102,0.045206,-16.304948,12.788909
2014-01-02,2014-01-23,call,183.0,2.4436,2.4638,2.4537,5000,50000,0.142225,0.502163,0.06393,-21.697169,17.503629
2014-01-02,2014-01-23,put,183.0,2.516,2.5367,2.5264,5000,50000,0.142225,-0.497837,0.06393,-21.569075,17.503629
2014-01-02,2014-01-23,call,187.0,0.9259,0.9438,0.9349,5000,50000,0.138533,0.259125,0.053272,-17.136625,14.207026
2014-01-02,2014-01-23,put,187.0,4.9594,5.0553,5.0073,5000,50000,0.138533,-0.740875,0.053272,-17.005731,14.207026
2014-01-02,2014-01-23,call,192.0,0.1714,0.1771,0.1743,5000,50000,0.134027,0.068159,0.022368,-6.730799,5.771307
2014-01-02,2014-01-23,put,192.0,9.0948,9.3983,9.2465,5000,50000,0.134027,-0.931841,0.022368,-6.596404,5.771307
2014-01-02,2014-01-23,put,197.0,13.7615,14.4164,14.0889,5000,50000,0.129637,-0.991056,0.00425,-1.058184,1.060656
2014-01-02,2014-02-06,call,169.0,13.785,14.4347,14.1098,5000,50000,0.155816,0.952136,0.011285,-4.695692,5.641646
2014-01-02,2014-02-06,put,169.0,0.1744,0.1826,0.1785,5000,50000,0.155816,-0.047864,0.011285,-4.5774,5.641646
2014-01-02,2014-02-06,call,174.0,9.3816,9.6904,9.536,5000,50000,0.150837,0.863269,0.025635,-9.861324,12.406076
2014-01-02,2014-02-06,put,174.0,0.5945,0.6141,0.6043,5000,50000,0.150837,-0.136731,0.025635,-9.739532,12.406076
2014-01-02,2014-02-06,call,178.0,6.2476,6.3831,6.3153,5000,50000,0.146956,0.733483,0.039463,-14.34743,18.606938
