date,vix,vix9d
2014-01-02,14.230000,13.830000
2014-01-03,13.760000,12.170000
2014-01-06,13.550000,12.510000
2014-01-07,12.920000,11.570000
2014-01-08,12.870000,11.620000
2014-01-09,12.890000,11.750000
2014-01-10,12.140000,9.970000
2014-01-13,13.280000,13.090000
2014-01-14,12.280000,11.310000
2014-01-15,12.280000,10.640000
2014-01-16,12.530000,11.090000
2014-01-17,12.440000,11.460000
2014-01-21,12.870000,12.460000
2014-01-22,12.840000,12.300000
2014-01-23,13.770000,14.210000
2014-01-24,18.140000,20.840000
2014-01-27,17.420000,19.040000
2014-01-28,15.800000,17.290000
2014-01-29,17.350000,19.400000
2014-01-30,17.290000,17.950000
2014-01-31,18.410000,19.320000
2014-02-03,21.440000,23.950000
2014-02-04,19.110000,20.370000
2014-02-05,19.950000,21.300000
2014-02-06,17.230000,18.670000
2014-02-07,15.290000,14.510000
2014-02-10,15.260000,14.220000
2014-02-11,14.510000,13.040000
2014-02-12,14.300000,12.670000
2014-02-13,14.140000,12.060000
2014-02-14,13.570000,10.840000
2014-02-18,13.870000,12.180000
2014-02-19,15.500000,13.900000
2014-02-20,14.790000,13.250000
2014-02-21,14.680000,13.040000
2014-02-24,14.230000,13.550000
2014-02-25,13.670000,12.860000
2014-02-26,14.350000,13.270000
2014-02-27,14.040000,12.420000
2014-02-28,14.000000,13.030000
2014-03-03,16.000000,16.210000
2014-03-04,14.100000,13.220000
2014-03-05,13.890000,12.490000
2014-03-06,14.210000,13.080000
2014-03-07,14.110000,12.740000
2014-03-10,14.200000,13.140000
2014-03-11,14.800000,14.130000
2014-03-12,14.470000,13.850000
2014-03-13,16.220000,17.210000
2014-03-14,17.820000,20.640000
2014-03-17,15.640000,15.870000
2014-03-18,14.520000,14.230000
2014-03-19,15.120000,15.000000
2014-03-20,14.520000,14.220000
2014-03-21,15.000000,14.700000
2014-03-24,15.090000,15.300000
2014-03-25,14.020000,13.870000
2014-03-26,14.930000,15.560000
2014-03-27,14.620000,15.170000
2014-03-28,14.410000,14.410000
2014-03-31,13.880000,13.750000
2014-04-01,13.100000,12.290000
2014-04-02,13.090000,12.130000
2014-04-03,13.370000,12.530000
2014-04-04,13.960000,13.180000
2014-04-07,15.570000,16.080000
2014-04-08,14.890000,14.510000
2014-04-09,13.820000,12.690000
2014-04-10,15.890000,16.500000
2014-04-11,17.030000,17.640000
2014-04-14,16.110000,16.000000
2014-04-15,15.610000,15.030000
2014-04-16,14.180000,13.520000
2014-04-17,13.360000,11.680000
2014-04-21,13.250000,12.990000
2014-04-22,13.190000,12.510000
2014-04-23,13.270000,12.670000
2014-04-24,13.320000,13.270000
2014-04-25,14.060000,13.940000
2014-04-28,13.970000,14.080000
2014-04-29,13.710000,13.630000
2014-04-30,13.410000,12.730000
2014-05-01,13.250000,12.580000
2014-05-02,12.910000,11.230000
2014-05-05,13.290000,12.250000
2014-05-06,13.800000,13.190000
2014-05-07,13.400000,12.820000
2014-05-08,13.430000,12.510000
2014-05-09,12.920000,11.170000
2014-05-12,12.230000,11.200000
2014-05-13,12.130000,10.750000
2014-05-14,12.170000,11.160000
2014-05-15,13.170000,13.350000
2014-05-16,12.440000,11.000000
2014-05-19,12.420000,11.010000
2014-05-20,12.960000,12.210000
2014-05-21,11.910000,10.470000
2014-05-22,12.030000,10.270000
2014-05-23,11.360000,9.490000
2014-05-27,11.510000,10.650000
2014-05-28,11.680000,10.580000
2014-05-29,11.570000,10.310000
2014-05-30,11.400000,9.730000
2014-06-02,11.580000,10.470000
2014-06-03,11.870000,11.010000
2014-06-04,12.080000,11.590000
2014-06-05,11.680000,10.880000
2014-06-06,10.730000,9.250000
