position_id,realized_pnl
P0005,-89.1100000000024
P0007,-89.41000000000167
P0006,-90.46000000000276
P0057,-90.73999999999978
P0055,-91.51999999999953
P0059,-92.47999999999956
P0061,-93.31999999999971
P0054,-93.6200000000008
P0053,-93.91999999999825
P0052,-94.88000000000102
P0056,-98.23999999999978
P0062,-100.21999999999935
P0065,-100.21999999999935
P0018,-101.89499999999953
P0063,-104.0
P0058,-104.35999999999876
P0064,-105.31999999999971
P0047,-109.46000000000004
P0021,-111.92999999999847
P0020,-112.199999999998
P0022,-113.09999999999854
P0067,-113.65999999999985
P0019,-117.78000000000065
P0066,-119.23999999999978
P0069,-121.02500000000055
P0009,-121.15500000000247
P0038,-141.70000000000073
P0037,-150.17499999999927
P0041,-159.47499999999854
P0040,-173.34999999999854
P0060,-175.5600000000013
P0048,-176.54999999999927
P0051,-213.9549999999981
P0050,-243.77500000000327
P0044,-264.56500000000415
P0042,-307.880000000001
P0049,-316.3949999999986
P0045,-367.42499999999745
P0068,-404.3500000000022
P0043,-526.0799999999981
P0002,-534.0999999999985
P0036,-543.1249999999964
P0046,-599.3650000000016
P0017,-600.4000000000015
P0016,-610.4449999999924
P0032,-614.2800000000061
P0033,-650.9999999999964
P0029,-660.1099999999933
P0034,-714.8049999999967
P0028,-761.9949999999917
P0013,-779.3400000000001
P0024,-781.320000000007
P0001,-797.6800000000076
P0003,-810.6599999999962
P0035,-812.6250000000036
P0031,-836.5600000000013
P0026,-842.450000000008
P0039,-857.9199999999983
P0023,-873.3400000000074
P0030,-893.6250000000036
P0015,-906.0799999999945
P0014,-969.0799999999981
P0010,-1068.6200000000063
P0008,-1234.719999999994
P0025,-1246.6100000000115
P0027,-1256.2200000000084
P0012,-1365.5700000000033
P0004,-1416.0699999999997
P0011,-1884.520000000015
