as_of_date,kappa,theta,xi,rho,v0,mu,model,window_start,window_end,n_observations,calibration_loss,optimizer_success
2014-01-06,2.0,0.0009072975779861414,0.3,-0.5,0.0009072975779861414,-0.38588042523225624,heston,2014-01-02,2014-01-06,2,0.0,False
2014-01-13,2.0,0.009544526897851407,0.3,-0.5,0.009544526897851407,-0.2391090329436186,heston,2014-01-02,2014-01-13,7,0.0,False
2014-01-21,2.0,0.009290142111313342,0.3,-0.5,0.009290142111313342,0.14880254262636525,heston,2014-01-02,2014-01-21,12,0.0,False
2014-01-27,2.0,0.015468297217075747,0.3,-0.5,0.015468297217075747,-0.4208102836245324,heston,2014-01-02,2014-01-27,16,0.0,False
2014-02-03,2.0,0.020724923140608947,0.3,-0.5,0.020724923140608947,-0.577842318983622,heston,2014-01-02,2014-02-03,21,0.0,False
2014-02-10,2.0,0.02142970473177173,0.3,-0.5,0.02142970473177173,-0.1447157806950658,heston,2014-01-02,2014-02-10,26,0.0,False
2014-02-18,2.0,0.01941354431218286,0.3,-0.5,0.01941354431218286,0.06815741390089879,heston,2014-01-02,2014-02-18,31,0.0,False
2014-02-24,2.0,0.0179373329692357,0.3,-0.5,0.0179373329692357,0.0868749807737098,heston,2014-01-02,2014-02-24,35,0.0,False
2014-03-03,2.0,0.016179988877783,0.3,-0.5,0.016179988877783,0.07864251215732859,heston,2014-01-02,2014-03-03,40,0.0,False
2014-03-10,2.0,0.015410882185585473,0.3,-0.5,0.015410882185585473,0.16587053024707632,heston,2014-01-02,2014-03-10,45,0.0,False
2014-03-17,2.0,0.015132525682296474,0.3,-0.5,0.015132525682296474,0.1006570609464609,heston,2014-01-02,2014-03-17,50,0.0,False
2014-03-24,2.0,0.014673696755095281,0.3,-0.5,0.014673696755095281,0.06978040282224149,heston,2014-01-02,2014-03-24,55,0.0,False
2014-03-31,2.0,0.014134875075975883,0.3,-0.5,0.014134875075975883,0.0999428463352408,heston,2014-01-02,2014-03-31,60,0.0,False
2014-04-07,2.0,0.014325056302269072,0.3,-0.5,0.014325056302269072,0.03714269589678576,heston,2014-01-02,2014-04-07,65,0.0,False
2014-04-14,2.0,0.015942316547499263,0.3,-0.5,0.015942316547499263,0.008366719309637569,heston,2014-01-02,2014-04-14,70,0.0,False
