date,equity,cash,stock_shares,stock_value,option_value,open_positions,unrealized_pnl,realized_pnl,hedge_pnl,cumulative_commissions,cumulative_slippage,drawdown,equity_peak
2022-01-03,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-01-04,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-01-05,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-01-06,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-01-07,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-01-10,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-01-11,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-01-12,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-01-13,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-01-14,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-01-18,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-01-19,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-01-20,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-01-21,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-01-24,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-01-25,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-01-26,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-01-27,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-01-28,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-01-31,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-02-01,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-02-02,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-02-03,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-02-04,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-02-07,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-02-08,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-02-09,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-02-10,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-02-11,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-02-14,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-02-15,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-02-16,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-02-17,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-02-18,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-02-22,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-02-23,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-02-24,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-02-25,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-02-28,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-03-01,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-03-02,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-03-03,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-03-04,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-03-07,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-03-08,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-03-09,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2022-03-10,1000000.0,1000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
