stage,count,pct_of_decisions
has_required_market_data,501,100.0
has_valid_option_chain,500,99.8003992015968
has_sufficient_model_history,500,99.8003992015968
model_calibration_succeeded,500,99.8003992015968
forecast_created,500,99.8003992015968
signal_exceeded_threshold,222,44.31137724550898
eligible_expiration_found,222,44.31137724550898
atm_contracts_found,222,44.31137724550898
liquidity_filter_passed,222,44.31137724550898
position_size_positive,217,43.31337325349301
risk_check_passed,69,13.77245508982036
trade_executed,69,13.77245508982036
