date,action,position_id,structure,quantity,direction,net_cash_flow,edge_after_costs,reasons,reason,realized_pnl,gross_option_pnl,commission,slippage,shares,gross_cash_flow
2022-03-29,entry,P0001,iron_butterfly,13.0,short_vol,20140.379999999997,5126.71427223519,,,,,,,,
2022-03-30,entry_rejected,,,,,,,['Trade cooldown active (1 < 5 days).'],,,,,,,
2022-03-31,entry_rejected,,,,,,,['Trade cooldown active (2 < 5 days).'],,,,,,,
2022-04-01,entry_rejected,,,,,,,['Trade cooldown active (3 < 5 days).'],,,,,,,
2022-04-04,entry,P0002,iron_butterfly,10.0,short_vol,16710.550000000003,4138.597402401559,,,,,,,,
2022-04-05,entry_rejected,,,,,,,['Trade cooldown active (1 < 5 days).'],,,,,,,
2022-04-07,entry_rejected,,,,,,,['Trade cooldown active (3 < 5 days).'],,,,,,,
2022-04-08,entry_rejected,,,,,,,['Trade cooldown active (4 < 5 days).'],,,,,,,
2022-04-12,exit,P0001,,,,,,,profit_target,-797.6800000000076,-608.4000000000087,67.60000000000001,121.68000000000016,,
2022-04-12,hedge,,,,,27168.545204,,,,,,,,-62.0,27171.262602
2022-04-13,entry,P0003,iron_butterfly,12.0,short_vol,21230.25,9436.698941589653,,,,,,,,
2022-04-13,hedge,,,,,-74490.975216,,,,,,,,168.0,-74483.527608
2022-04-14,entry_rejected,,,,,,,['Trade cooldown active (1 < 5 days).'],,,,,,,
2022-04-18,entry,P0004,iron_butterfly,19.0,short_vol,29391.005000000005,13204.41006089327,,,,,,,,
2022-04-19,entry_rejected,,,,,,,"['Trade cooldown active (1 < 5 days).', 'Open position count 3 >= maximum 3.']",,,,,,,
2022-04-19,exit,P0002,,,,,,,maximum_holding_period,-534.0999999999985,-401.75,52.0,80.34999999999998,,
2022-04-19,hedge,,,,,-47628.803856000006,,,,,,,,107.0,-47624.041928000006
2022-04-20,entry_rejected,,,,,,,['Trade cooldown active (2 < 5 days).'],,,,,,,
